Review,Liked,CleanedText,ProcessedText,Sentiment
The worst was the salmon sashimi.,0,The worst was the salmon sashimi,worst salmon sashimi,negative
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,Also there are combos like a burger fries and beer for  which is a decent deal,also combo like burger fry beer decent deal,positive
This was like the final blow!,0,This was like the final blow,like final blow,negative
I found this place by accident and I could not be happier.,1,I found this place by accident and I could not be happier,found place accident could happier,positive
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere,seems like good quick place grab bite familiar pub food favor look elsewhere,negative
"Overall, I like this place a lot.",1,Overall I like this place a lot,overall like place lot,positive
The only redeeming quality of the restaurant was that it was very inexpensive.,1,The only redeeming quality of the restaurant was that it was very inexpensive,redeeming quality restaurant inexpensive,positive
Ample portions and good prices.,1,Ample portions and good prices,ample portion good price,positive
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,Poor service the waiter made me feel like I was stupid every time he came to the table,poor service waiter made feel like stupid every time came table,negative
My first visit to Hiro was a delight!,1,My first visit to Hiro was a delight,first visit hiro delight,positive
Service sucks.,0,Service sucks,service suck,negative
The shrimp tender and moist.,1,The shrimp tender and moist,shrimp tender moist,positive
There is not a deal good enough that would drag me into that establishment again.,0,There is not a deal good enough that would drag me into that establishment again,deal good enough would drag establishment,negative
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didnt want to eat it for fear of getting sick,hard judge whether side good grossed melted styrofoam didnt want eat fear getting sick,negative
"On a positive note, our server was very attentive and provided great service.",1,On a positive note our server was very attentive and provided great service,positive note server attentive provided great service,positive
"Frozen pucks of disgust, with some of the worst people behind the register.",0,Frozen pucks of disgust with some of the worst people behind the register,frozen puck disgust worst people behind register,negative
The only thing I did like was the prime rib and dessert section.,1,The only thing I did like was the prime rib and dessert section,thing like prime rib dessert section,positive
It's too bad the food is so damn generic.,0,Its too bad the food is so damn generic,bad food damn generic,negative
"The burger is good beef, cooked just right.",1,The burger is good beef cooked just right,burger good beef cooked right,positive
If you want a sandwich just go to any Firehouse!!!!!,1,If you want a sandwich just go to any Firehouse,want sandwich go firehouse,positive
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,My side Greek salad with the Greek dressing was so tasty and the pita and hummus was very refreshing,side greek salad greek dressing tasty pita hummus refreshing,positive
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside,ordered duck rare pink tender inside nice char outside,positive
He came running after us when he realized my husband had left his sunglasses on the table.,1,He came running after us when he realized my husband had left his sunglasses on the table,came running u realized husband left sunglass table,positive
Their chow mein is so good!,1,Their chow mein is so good,chow mein good,positive
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0,They have horrible attitudes towards customers and talk down to each one when customers dont enjoy their food,horrible attitude towards customer talk one customer dont enjoy food,negative
The portion was huge!,1,The portion was huge,portion huge,positive
"Loved it...friendly servers, great food, wonderful and imaginative menu.",1,Loved itfriendly servers great food wonderful and imaginative menu,loved itfriendly server great food wonderful imaginative menu,positive
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0,The Heart Attack Grill in downtown Vegas is an absolutely flatlined excuse for a restaurant,heart attack grill downtown vega absolutely flatlined excuse restaurant,negative
Not much seafood and like 5 strings of pasta at the bottom.,0,Not much seafood and like  strings of pasta at the bottom,much seafood like string pasta bottom,negative
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,The salad had just the right amount of sauce to not over power the scallop which was perfectly cooked,salad right amount sauce power scallop perfectly cooked,positive
"The ripped banana was not only ripped, but petrified and tasteless.",0,The ripped banana was not only ripped but petrified and tasteless,ripped banana ripped petrified tasteless,negative
At least think to refill my water before I struggle to wave you over for 10 minutes.,0,At least think to refill my water before I struggle to wave you over for  minutes,least think refill water struggle wave minute,negative
This place receives stars for their APPETIZERS!!!,1,This place receives stars for their APPETIZERS,place receives star appetizer,positive
The cocktails are all handmade and delicious.,1,The cocktails are all handmade and delicious,cocktail handmade delicious,positive
We'd definitely go back here again.,1,Wed definitely go back here again,wed definitely go back,positive
We are so glad we found this place.,1,We are so glad we found this place,glad found place,positive
"Great food and service, huge portions and they give a military discount.",1,Great food and service huge portions and they give a military discount,great food service huge portion give military discount,positive
Always a great time at Dos Gringos!,1,Always a great time at Dos Gringos,always great time do gringo,positive
Update.....went back for a second time and it was still just as amazing,1,Updatewent back for a second time and it was still just as amazing,updatewent back second time still amazing,positive
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0,We got the food and apparently they have never heard of salt and the batter on the fish was chewy,got food apparently never heard salt batter fish chewy,negative
A great way to finish a great.,1,A great way to finish a great,great way finish great,positive
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1,The deal included  tastings and  drinks and Jeff went above and beyond what we expected,deal included tasting drink jeff went beyond expected,positive
"- Really, really good rice, all the time.",1, Really really good rice all the time,really really good rice time,positive
The service was meh.,0,The service was meh,service meh,negative
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0,It took over  min to get their milkshake which was nothing more than chocolate milk,took min get milkshake nothing chocolate milk,negative
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0,I guess I should have known that this place would suck because it is inside of the Excalibur but I didnt use my common sense,guess known place would suck inside excalibur didnt use common sense,negative
The scallop dish is quite appalling for value as well.,0,The scallop dish is quite appalling for value as well,scallop dish quite appalling value well,negative
2 times - Very Bad Customer Service !,0, times  Very Bad Customer Service ,time bad customer service,negative
The sweet potato fries were very good and seasoned well.,1,The sweet potato fries were very good and seasoned well,sweet potato fry good seasoned well,positive
Today is the second time I've been to their lunch buffet and it was pretty good.,1,Today is the second time Ive been to their lunch buffet and it was pretty good,today second time ive lunch buffet pretty good,positive
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company,much good food vega feel cheated wasting eating opportunity going rice company,negative
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0,Coming here is like experiencing an underwhelming relationship where both parties cant wait for the other person to ask to break up,coming like experiencing underwhelming relationship party cant wait person ask break,negative
walked in and the place smelled like an old grease trap and only 2 others there eating.,0,walked in and the place smelled like an old grease trap and only  others there eating,walked place smelled like old grease trap others eating,negative
The turkey and roast beef were bland.,0,The turkey and roast beef were bland,turkey roast beef bland,negative
This place has it!,1,This place has it,place,positive
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old,pan cake everyone raving taste like sugary disaster tailored palate six year old,negative
I love the Pho and the spring rolls oh so yummy you have to try.,1,I love the Pho and the spring rolls oh so yummy you have to try,love pho spring roll oh yummy try,positive
The poor batter to meat ratio made the chicken tenders very unsatisfying.,0,The poor batter to meat ratio made the chicken tenders very unsatisfying,poor batter meat ratio made chicken tender unsatisfying,negative
All I have to say is the food was amazing!!!,1,All I have to say is the food was amazing,say food amazing,positive
Omelets are to die for!,1,Omelets are to die for,omelet die,positive
Everything was fresh and delicious!,1,Everything was fresh and delicious,everything fresh delicious,positive
"In summary, this was a largely disappointing dining experience.",0,In summary this was a largely disappointing dining experience,summary largely disappointing dining experience,negative
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1,Its like a really sexy party in your mouth where youre outrageously flirting with the hottest person at the party,like really sexy party mouth youre outrageously flirting hottest person party,positive
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0,Never been to Hard Rock Casino before WILL NEVER EVER STEP FORWARD IN IT AGAIN,never hard rock casino never ever step forward,negative
Best breakfast buffet!!!,1,Best breakfast buffet,best breakfast buffet,positive
say bye bye to your tip lady!,0,say bye bye to your tip lady,say bye bye tip lady,negative
We'll never go again.,0,Well never go again,well never go,negative
Will be back again!,1,Will be back again,back,positive
Food arrived quickly!,1,Food arrived quickly,food arrived quickly,positive
It was not good.,0,It was not good,good,negative
"On the up side, their cafe serves really good food.",1,On the up side their cafe serves really good food,side cafe serf really good food,positive
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1,Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow he added extra to our meal and another marrow to go,server fantastic found wife love roasted garlic bone marrow added extra meal another marrow go,positive
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1,The only good thing was our waiter he was very helpful and kept the bloddy marys coming,good thing waiter helpful kept bloddy mary coming,positive
"Best Buffet in town, for the price you cannot beat it.",1,Best Buffet in town for the price you cannot beat it,best buffet town price beat,positive
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,I LOVED their mussels cooked in this wine reduction the duck was tender and their potato dishes were delicious,loved mussel cooked wine reduction duck tender potato dish delicious,positive
This is one of the better buffets that I have been to.,1,This is one of the better buffets that I have been to,one better buffet,positive
So we went to Tigerlilly and had a fantastic afternoon!,1,So we went to Tigerlilly and had a fantastic afternoon,went tigerlilly fantastic afternoon,positive
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1,The food was delicious our bartender was attentive and personable AND we got a great deal,food delicious bartender attentive personable got great deal,positive
The ambience is wonderful and there is music playing.,1,The ambience is wonderful and there is music playing,ambience wonderful music playing,positive
Will go back next trip out.,1,Will go back next trip out,go back next trip,positive
Sooooo good!!,1,Sooooo good,sooooo good,positive
"REAL sushi lovers, let's be honest - Yama is not that good.",0,REAL sushi lovers lets be honest  Yama is not that good,real sushi lover let honest yama good,negative
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0,At least min passed in between us ordering and the food arriving and it wasnt that busy,least min passed u ordering food arriving wasnt busy,negative
This is a really fantastic Thai restaurant which is definitely worth a visit.,1,This is a really fantastic Thai restaurant which is definitely worth a visit,really fantastic thai restaurant definitely worth visit,positive
"Nice, spicy and tender.",1,Nice spicy and tender,nice spicy tender,positive
Good prices.,1,Good prices,good price,positive
Check it out.,1,Check it out,check,positive
It was pretty gross!,0,It was pretty gross,pretty gross,negative
I've had better atmosphere.,0,Ive had better atmosphere,ive better atmosphere,negative
Kind of hard to mess up a steak but they did.,0,Kind of hard to mess up a steak but they did,kind hard mess steak,negative
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0,Although I very much liked the look and sound of this place the actual experience was a bit disappointing,although much liked look sound place actual experience bit disappointing,negative
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0,I just dont know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine,dont know place managed served blandest food ever eaten preparing indian cuisine,negative
"Worst service to boot, but that is the least of their worries.",0,Worst service to boot but that is the least of their worries,worst service boot least worry,negative
Service was fine and the waitress was friendly.,1,Service was fine and the waitress was friendly,service fine waitress friendly,positive
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1,The guys all had steaks and our steak loving son who has had steak at the best and worst places said it was the best steak hes ever eaten,guy steak steak loving son steak best worst place said best steak he ever eaten,positive
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1,We thought youd have to venture further away to get good sushi but this place really hit the spot that night,thought youd venture away get good sushi place really hit spot night,positive
"Host staff were, for lack of a better word, BITCHES!",0,Host staff were for lack of a better word BITCHES,host staff lack better word bitch,negative
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0,Bland Not a liking this place for a number of reasons and I dont want to waste time on bad reviewing Ill leave it at that,bland liking place number reason dont want waste time bad reviewing ill leave,negative
"Phenomenal food, service and ambiance.",1,Phenomenal food service and ambiance,phenomenal food service ambiance,positive
I wouldn't return.,0,I wouldnt return,wouldnt return,negative
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1,Definitely worth venturing off the strip for the pork belly will return next time Im in Vegas,definitely worth venturing strip pork belly return next time im vega,positive
This place is way too overpriced for mediocre food.,0,This place is way too overpriced for mediocre food,place way overpriced mediocre food,negative
Penne vodka excellent!,1,Penne vodka excellent,penne vodka excellent,positive
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1,They have a good selection of food including a massive meatloaf sandwich a crispy chicken wrap a delish tuna melt and some tasty burgers,good selection food including massive meatloaf sandwich crispy chicken wrap delish tuna melt tasty burger,positive
The management is rude.,0,The management is rude,management rude,negative
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1,Delicious NYC bagels good selections of cream cheese real Lox with capers even,delicious nyc bagel good selection cream cheese real lox caper even,positive
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1,Great Subway in fact its so good when you come here every other Subway will not meet your expectations,great subway fact good come every subway meet expectation,positive
I had a seriously solid breakfast here.,1,I had a seriously solid breakfast here,seriously solid breakfast,positive
This is one of the best bars with food in Vegas.,1,This is one of the best bars with food in Vegas,one best bar food vega,positive
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,He was extremely rude and really there are so many other restaurants I would love to dine at during a weekend in Vegas,extremely rude really many restaurant would love dine weekend vega,negative
My drink was never empty and he made some really great menu suggestions.,1,My drink was never empty and he made some really great menu suggestions,drink never empty made really great menu suggestion,positive
Don't do it!!!!,0,Dont do it,dont,negative
The waiter wasn't helpful or friendly and rarely checked on us.,0,The waiter wasnt helpful or friendly and rarely checked on us,waiter wasnt helpful friendly rarely checked u,negative
My husband and I ate lunch here and were very disappointed with the food and service.,0,My husband and I ate lunch here and were very disappointed with the food and service,husband ate lunch disappointed food service,negative
And the red curry had so much bamboo shoots and wasn't very tasty to me.,0,And the red curry had so much bamboo shoots and wasnt very tasty to me,red curry much bamboo shoot wasnt tasty,negative
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1,Nice blanket of moz over top but i feel like this was done to cover up the subpar food,nice blanket moz top feel like done cover subpar food,positive
The bathrooms are clean and the place itself is well decorated.,1,The bathrooms are clean and the place itself is well decorated,bathroom clean place well decorated,positive
"The menu is always changing, food quality is going down & service is extremely slow.",0,The menu is always changing food quality is going down  service is extremely slow,menu always changing food quality going service extremely slow,negative
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0,The service was a little slow  considering that were served by  people servers so the food was coming in a slow pace,service little slow considering served people server food coming slow pace,negative
I give it 2 thumbs down,0,I give it  thumbs down,give thumb,negative
We watched our waiter pay a lot more attention to other tables and ignore us.,0,We watched our waiter pay a lot more attention to other tables and ignore us,watched waiter pay lot attention table ignore u,negative
My fiancé and I came in the middle of the day and we were greeted and seated right away.,1,My fianc and I came in the middle of the day and we were greeted and seated right away,fianc came middle day greeted seated right away,positive
This is a great restaurant at the Mandalay Bay.,1,This is a great restaurant at the Mandalay Bay,great restaurant mandalay bay,positive
We waited for forty five minutes in vain.,0,We waited for forty five minutes in vain,waited forty five minute vain,negative
Crostini that came with the salad was stale.,0,Crostini that came with the salad was stale,crostini came salad stale,negative
Some highlights : Great quality nigiri here!,1,Some highlights  Great quality nigiri here,highlight great quality nigiri,positive
the staff is friendly and the joint is always clean.,1,the staff is friendly and the joint is always clean,staff friendly joint always clean,positive
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored,different cut piece day still wonderful tender well well flavored,positive
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1,I ordered the Voodoo pasta and it was the first time Id had really excellent pasta since going gluten free several years ago,ordered voodoo pasta first time id really excellent pasta since going gluten free several year ago,positive
this place is good.,1,this place is good,place good,positive
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0,Unfortunately we must have hit the bakery on leftover day because everything we ordered was STALE,unfortunately must hit bakery leftover day everything ordered stale,negative
I came back today since they relocated and still not impressed.,0,I came back today since they relocated and still not impressed,came back today since relocated still impressed,negative
I was seated immediately.,1,I was seated immediately,seated immediately,positive
"Their menu is diverse, and reasonably priced.",1,Their menu is diverse and reasonably priced,menu diverse reasonably priced,positive
Avoid at all cost!,0,Avoid at all cost,avoid cost,negative
Restaurant is always full but never a wait.,1,Restaurant is always full but never a wait,restaurant always full never wait,positive
DELICIOUS!!,1,DELICIOUS,delicious,positive
This place is hands-down one of the best places to eat in the Phoenix metro area.,1,This place is handsdown one of the best places to eat in the Phoenix metro area,place handsdown one best place eat phoenix metro area,positive
So don't go there if you are looking for good food...,0,So dont go there if you are looking for good food,dont go looking good food,negative
I've never been treated so bad.,0,Ive never been treated so bad,ive never treated bad,negative
Bacon is hella salty.,1,Bacon is hella salty,bacon hella salty,positive
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",0,We also ordered the spinach and avocado salad the ingredients were sad and the dressing literally had zero taste,also ordered spinach avocado salad ingredient sad dressing literally zero taste,negative
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1,This really is how Vegas fine dining used to be right down to the menus handed to the ladies that have no prices listed,really vega fine dining used right menu handed lady price listed,positive
The waitresses are very friendly.,1,The waitresses are very friendly,waitress friendly,positive
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1,Lordy the Khao Soi is a dish that is not to be missed for curry lovers,lordy khao soi dish missed curry lover,positive
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1,Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter,everything menu terrific also thrilled made amazing accommodation vegetarian daughter,positive
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0,Perhaps I caught them on an off night judging by the other reviews but Im not inspired to go back,perhaps caught night judging review im inspired go back,negative
The service here leaves a lot to be desired.,0,The service here leaves a lot to be desired,service leaf lot desired,negative
"The atmosphere is modern and hip, while maintaining a touch of coziness.",1,The atmosphere is modern and hip while maintaining a touch of coziness,atmosphere modern hip maintaining touch coziness,positive
"Not a weekly haunt, but definitely a place to come back to every once in a while.",1,Not a weekly haunt but definitely a place to come back to every once in a while,weekly haunt definitely place come back every,positive
We literally sat there for 20 minutes with no one asking to take our order.,0,We literally sat there for  minutes with no one asking to take our order,literally sat minute one asking take order,negative
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0,The burger had absolutely no flavor  the meat itself was totally bland the burger was overcooked and there was no charcoal flavor,burger absolutely flavor meat totally bland burger overcooked charcoal flavor,negative
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0,I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack,also decided send back waitress looked like verge heart attack,negative
I dressed up to be treated so rudely!,0,I dressed up to be treated so rudely,dressed treated rudely,negative
It was probably dirt.,0,It was probably dirt,probably dirt,negative
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1,Love this place hits the spot when I want something healthy but not lacking in quantity or flavor,love place hit spot want something healthy lacking quantity flavor,positive
I ordered the Lemon raspberry ice cocktail which was also incredible.,1,I ordered the Lemon raspberry ice cocktail which was also incredible,ordered lemon raspberry ice cocktail also incredible,positive
"The food sucked, which we expected but it sucked more than we could have imagined.",0,The food sucked which we expected but it sucked more than we could have imagined,food sucked expected sucked could imagined,negative
Interesting decor.,1,Interesting decor,interesting decor,positive
What I really like there is the crepe station.,1,What I really like there is the crepe station,really like crepe station,positive
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1,Also were served hot bread and butter and home made potato chips with bacon bits on topvery original and very good,also served hot bread butter home made potato chip bacon bit topvery original good,positive
you can watch them preparing the delicious food!),1,you can watch them preparing the delicious food,watch preparing delicious food,positive
Both of the egg rolls were fantastic.,1,Both of the egg rolls were fantastic,egg roll fantastic,positive
"When my order arrived, one of the gyros was missing.",0,When my order arrived one of the gyros was missing,order arrived one gyro missing,negative
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1,I had a salad with the wings and some ice cream for dessert and left feeling quite satisfied,salad wing ice cream dessert left feeling quite satisfied,positive
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0,Im not really sure how Joeys was voted best hot dog in the Valley by readers of Phoenix Magazine,im really sure joeys voted best hot dog valley reader phoenix magazine,negative
The best place to go for a tasty bowl of Pho!,1,The best place to go for a tasty bowl of Pho,best place go tasty bowl pho,positive
The live music on Fridays totally blows.,0,The live music on Fridays totally blows,live music friday totally blow,negative
I've never been more insulted or felt disrespected.,0,Ive never been more insulted or felt disrespected,ive never insulted felt disrespected,negative
Very friendly staff.,1,Very friendly staff,friendly staff,positive
It is worth the drive.,1,It is worth the drive,worth drive,positive
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1,I had heard good things about this place but it exceeding every hope I could have dreamed of,heard good thing place exceeding every hope could dreamed,positive
Food was great and so was the serivce!,1,Food was great and so was the serivce,food great serivce,positive
The warm beer didn't help.,0,The warm beer didnt help,warm beer didnt help,negative
Great brunch spot.,1,Great brunch spot,great brunch spot,positive
Service is friendly and inviting.,1,Service is friendly and inviting,service friendly inviting,positive
Very good lunch spot.,1,Very good lunch spot,good lunch spot,positive
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0,Ive lived here since  and this was the first and last time Ive stepped foot into this place,ive lived since first last time ive stepped foot place,negative
The WORST EXPERIENCE EVER.,0,The WORST EXPERIENCE EVER,worst experience ever,negative
Must have been an off night at this place.,0,Must have been an off night at this place,must night place,negative
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1,The sides are delish  mixed mushrooms yukon gold puree white corn  beateous,side delish mixed mushroom yukon gold puree white corn beateous,positive
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0,If that bug never showed up I would have given a  for sure but on the other side of the wall where this bug was climbing was the kitchen,bug never showed would given sure side wall bug climbing kitchen,negative
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0,For about  minutes we were waiting for her salad when we realized that it wasnt coming any time soon,minute waiting salad realized wasnt coming time soon,negative
My friend loved the salmon tartar.,1,My friend loved the salmon tartar,friend loved salmon tartar,positive
Won't go back.,0,Wont go back,wont go back,negative
Extremely Tasty!,1,Extremely Tasty,extremely tasty,positive
Waitress was good though!,1,Waitress was good though,waitress good though,positive
Soggy and not good.,0,Soggy and not good,soggy good,negative
The Jamaican mojitos are delicious.,1,The Jamaican mojitos are delicious,jamaican mojitos delicious,positive
Which are small and not worth the price.,0,Which are small and not worth the price,small worth price,negative
- the food is rich so order accordingly.,1, the food is rich so order accordingly,food rich order accordingly,positive
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0,The shower area is outside so you can only rinse not take a full shower unless you dont mind being nude for everyone to see,shower area outside rinse take full shower unless dont mind nude everyone see,negative
The service was a bit lacking.,0,The service was a bit lacking,service bit lacking,negative
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0,Lobster Bisque Bussell Sprouts Risotto Filet ALL needed salt and pepperand of course there is none at the tables,lobster bisque bussell sprout risotto filet needed salt pepperand course none table,negative
Hopefully this bodes for them going out of business and someone who can cook can come in.,0,Hopefully this bodes for them going out of business and someone who can cook can come in,hopefully bodes going business someone cook come,negative
"It was either too cold, not enough flavor or just bad.",0,It was either too cold not enough flavor or just bad,either cold enough flavor bad,negative
I loved the bacon wrapped dates.,1,I loved the bacon wrapped dates,loved bacon wrapped date,positive
This is an unbelievable BARGAIN!,1,This is an unbelievable BARGAIN,unbelievable bargain,positive
The folks at Otto always make us feel so welcome and special.,1,The folks at Otto always make us feel so welcome and special,folk otto always make u feel welcome special,positive
"As for the ""mains,"" also uninspired.",0,As for the mains also uninspired,main also uninspired,negative
This is the place where I first had pho and it was amazing!!,1,This is the place where I first had pho and it was amazing,place first pho amazing,positive
This wonderful experience made this place a must-stop whenever we are in town again.,1,This wonderful experience made this place a muststop whenever we are in town again,wonderful experience made place muststop whenever town,positive
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0,If the food isnt bad enough for you then enjoy dealing with the worlds worstannoying drunk people,food isnt bad enough enjoy dealing world worstannoying drunk people,negative
Very very fun chef.,1,Very very fun chef,fun chef,positive
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0,Ordered a double cheeseburger  got a single patty that was falling apart picture uploaded Yeah still sucks,ordered double cheeseburger got single patty falling apart picture uploaded yeah still suck,negative
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1,Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TVs,great place couple drink watch sporting event wall covered tv,positive
